[('Iran', 0.7293535470962524), ('Tehran', 0.6154943704605103), ('Iranian', 0.6114965081214905)] Armenian_dram
[('Lao_kip', 0.5127365589141846), ('Belgium', 0.3853616416454315), ('Laos', 0.37916505336761475)] Lao_kip
[('Belgium', 0.8149504065513611), ('Lithuania', 0.7741227149963379), ('Croatia', 0.7671921253204346)] Euro
[('Libyan_dinar', 0.6099075078964233), ('sprawling_Abu_Shouk', 0.42255252599716187), ('VLKSM', 0.41428977251052856)] Libyan_dinar
[('Malaysian_ringgit', 0.7984862327575684), ('ringgit', 0.5801143646240234), ('Indonesian_rupiah', 0.5507017374038696)] Malaysian_ringgit
[('Belgium', 0.8149504065513611), ('Lithuania', 0.7741227149963379), ('Croatia', 0.7671921253204346)] Euro
[('Nigerian_naira', 0.6263955235481262), ('Nigeria', 0.4502885639667511), ('Benin', 0.44959646463394165)] Nigerian_naira
[('Belgium', 0.8149504065513611), ('Lithuania', 0.7741227149963379), ('Croatia', 0.7671921253204346)] Euro
[('Qatari_riyal', 0.5247340202331543), ('United_Arab_Emirates', 0.4357230067253113), ('Saudi_Arabia', 0.4305418133735657)] Qatari_riyal
[('Belgium', 0.8149504065513611), ('Lithuania', 0.7741227149963379), ('Croatia', 0.7671921253204346)] Euro
[('Saudi_riyal', 0.7239638566970825), ('riyal', 0.48944514989852905), ('####.SA', 0.48916152119636536)] Saudi_riyal
[('Belgium', 0.8149504065513611), ('Lithuania', 0.7741227149963379), ('Croatia', 0.7671921253204346)] Euro
[('Somali_shilling', 0.6533358693122864), ('Bahr_el_Ghazal', 0.41679006814956665), ('Somalia', 0.4124872088432312)] Somali_shilling
[('Belgium', 0.8149504065513611), ('Lithuania', 0.7741227149963379), ('Croatia', 0.7671921253204346)] Euro
[('Swedish_krona', 0.7818526029586792), ('Sweden', 0.5192757844924927), ('Norwegian_krone', 0.5131111145019531)] Swedish_krona
[('Swiss_franc', 0.8118066787719727), ('franc', 0.5885370969772339), ('Swiss_Franc', 0.5702527165412903)] Swiss_franc
[('Somoni', 0.47546154260635376), ('Hakimjan', 0.44663023948669434), ('Bobur', 0.4345405697822571)] Somoni
[('Belgium', 0.4417647123336792), ('Tanzania', 0.4122324585914612), ('Wenceslas_Munyeshyaka', 0.3980511724948883)] Tanzanian_shilling
[('CFA_franc', 0.7599866986274719), ('Senegal', 0.5210029482841492), ('CFA_francs', 0.48307082056999207)] CFA_franc
[('Turkish_lira', 0.7770935297012329), ('lira', 0.5868710875511169), ('Turkish_Lira', 0.5289926528930664)] Turkish_lira
[('Belgium', 0.44147926568984985), ('Lithuania', 0.4356633126735687), ('Serbia', 0.42209184169769287)] Ukrainian_hryvnia
[('Belgium', 0.4243544638156891), ('Leuven_implanted', 0.35193657875061035), ('Senegal', 0.33864539861679077)] Yemeni_rial
[('Zambian_kwacha', 0.5264941453933716), ('minister_Brian_Chituwo', 0.46267157793045044), ('Zambia', 0.4605867266654968)] Zambian_kwacha
[('Croatia', 0.49636876583099365), ('Serbia', 0.4954136312007904), ('Lithuania', 0.4701482653617859)] Armenian_dram
[('Euro', 0.7410446405410767), ('Euro####', 0.606550395488739), ('Croatia', 0.5946516990661621)] Euro
[('Croatia', 0.544329047203064), ('Serbia', 0.5190993547439575), ('Slovenia', 0.4957016110420227)] Bulgarian_lev
[('Chilean_peso', 0.7967829704284668), ('Chile', 0.5944183468818665), ('Argentina', 0.5595210790634155)] Chilean_peso
[('Renminbi', 0.8289737701416016), ('Renminbi_RMB', 0.5359581708908081), ('RMB', 0.5330715179443359)] Renminbi
[('Colombian_peso', 0.7653913497924805), ('Argentina', 0.5500624179840088), ('Ecuador', 0.5426161289215088)] Colombian_peso
[('Czech_koruna', 0.7163282036781311), ('Czech_Republic', 0.6142648458480835), ('Slovakia', 0.5777934789657593)] Czech_koruna
[('Morocco', 0.41352206468582153), ('Algeria', 0.3828195333480835), ('Serbia', 0.3801943063735962)] Ethiopian_birr
[('Euro', 0.7410446405410767), ('Euro####', 0.606550395488739), ('Croatia', 0.5946516990661621)] Euro
[('Euro', 0.7410446405410767), ('Euro####', 0.606550395488739), ('Croatia', 0.5946516990661621)] Euro
[('Hungarian_forint', 0.7752721309661865), ('Slovakia', 0.5574562549591064), ('Hungary', 0.5520311594009399)] Hungarian_forint
[('Thailand', 0.36842435598373413), ('Laos', 0.3616323173046112), ('Malaysia', 0.35992395877838135)] Lao_kip
[('Euro', 0.7410446405410767), ('Euro####', 0.606550395488739), ('Croatia', 0.5946516990661621)] Euro
[('Libyan_dinar', 0.518480658531189), ('Morocco', 0.41637420654296875), ('Algeria', 0.40324968099594116)] Libyan_dinar
[('Malaysian_ringgit', 0.7390180230140686), ('Malaysia', 0.6319701671600342), ('Malaysian', 0.5743870735168457)] Malaysian_ringgit
[('Euro', 0.7410446405410767), ('Euro####', 0.606550395488739), ('Croatia', 0.5946516990661621)] Euro
[('Nigeria', 0.5860556364059448), ('Ghana', 0.5307407975196838), ('Nigerian_naira', 0.5033833384513855)] Nigerian_naira
[('Euro', 0.7410446405410767), ('Euro####', 0.606550395488739), ('Croatia', 0.5946516990661621)] Euro
[('Qatar', 0.5841947793960571), ('Oman', 0.5348999500274658), ('UAE', 0.5265710353851318)] Qatari_riyal
[('Euro', 0.7410446405410767), ('Euro####', 0.606550395488739), ('Croatia', 0.5946516990661621)] Euro
[('Saudi_riyal', 0.6496026515960693), ('Saudi_Arabia', 0.574586808681488), ('Oman', 0.5241243243217468)] Saudi_riyal
[('Euro', 0.7410446405410767), ('Euro####', 0.606550395488739), ('Croatia', 0.5946516990661621)] Euro
[('Somali_shilling', 0.5318874716758728), ('Ethiopia', 0.4608975350856781), ('Serbia', 0.40422195196151733)] Somali_shilling
[('Euro', 0.7410446405410767), ('Euro####', 0.606550395488739), ('Croatia', 0.5946516990661621)] Euro
[('Swedish_krona', 0.7294785976409912), ('Sweden', 0.6614331603050232), ('Finland', 0.5991619825363159)] Swedish_krona
[('Swiss_franc', 0.7749008536338806), ('Switzerland', 0.5754699110984802), ('Swiss_Franc', 0.5474445819854736)] Swiss_franc
[('Uzbekistan', 0.4194830060005188), ('Serbia', 0.3933693766593933), ('Rybinsk', 0.38956546783447266)] Somoni
[('Serbia', 0.45093464851379395), ('Kenya', 0.42803850769996643), ('Morocco', 0.42273399233818054)] Tanzanian_shilling
[('CFA_franc', 0.7134487628936768), ('Senegal', 0.5393544435501099), ('Mali', 0.5290836095809937)] CFA_franc
[('Turkish_lira', 0.7308911085128784), ('Turkey', 0.6553826332092285), ('Turkish', 0.596295952796936)] Turkish_lira
[('Serbia', 0.5334897637367249), ('Croatia', 0.5038700103759766), ('Lithuania', 0.49955296516418457)] Ukrainian_hryvnia
[('Serbia', 0.38875001668930054), ('Morocco', 0.38372817635536194), ('Croatia', 0.3718603253364563)] Yemeni_rial
[('Zambia', 0.48806390166282654), ('Tanzania', 0.4597851634025574), ('Morocco', 0.44640907645225525)] Zambian_kwacha
[('Azerbaijan', 0.6856673359870911), ('Armenia', 0.6712404489517212), ('Cyprus', 0.5957309603691101)] Armenian_dram
[('Euro', 0.8557491302490234), ('Bulgaria', 0.608222246170044), ('Portugal', 0.5970810055732727)] Euro
[('Azerbaijan', 0.6338291168212891), ('Oman', 0.6287072896957397), ('Cyprus', 0.614093542098999)] Bulgarian_lev
[('Chilean_peso', 0.8974403142929077), ('Colombian_peso', 0.6598674058914185), ('Chile_peso', 0.649864673614502)] Chilean_peso
[('Renminbi', 0.9146031737327576), ('renminbi', 0.6288825869560242), ('Renminbi_RMB', 0.6017294526100159)] Renminbi
[('Colombian_peso', 0.8845444917678833), ('Chile_peso', 0.6373130083084106), ('peso', 0.631505012512207)] Colombian_peso
[('Czech_koruna', 0.86264967918396), ('Polish_zloty', 0.6057178974151611), ('Hungarian_forint', 0.5912528038024902)] Czech_koruna
[('Ethiopia', 0.5786617398262024), ('Tanzania', 0.5726813077926636), ('Zimbabwe', 0.567486047744751)] Ethiopian_birr
[('Euro', 0.8557491302490234), ('Bulgaria', 0.608222246170044), ('Portugal', 0.5970810055732727)] Euro
[('Euro', 0.8557491302490234), ('Bulgaria', 0.608222246170044), ('Portugal', 0.5970810055732727)] Euro
[('Hungarian_forint', 0.8914133906364441), ('Polish_zloty', 0.6141831278800964), ('Romanian_leu', 0.6012814044952393)] Hungarian_forint
[('Lao_kip', 0.5633875131607056), ('Oman', 0.559156596660614), ('Thailand', 0.5412601232528687)] Lao_kip
[('Euro', 0.8557491302490234), ('Bulgaria', 0.608222246170044), ('Portugal', 0.5970810055732727)] Euro
[('Libyan_dinar', 0.7544344067573547), ('Oman', 0.5697925090789795), ('Kuwait', 0.5557428598403931)] Libyan_dinar
[('Malaysian_ringgit', 0.8730072975158691), ('ringgit', 0.6829500794410706), ('Malaysia', 0.6255597472190857)] Malaysian_ringgit
[('Euro', 0.8557491302490234), ('Bulgaria', 0.608222246170044), ('Portugal', 0.5970810055732727)] Euro
[('Nigerian_naira', 0.755871057510376), ('Nigeria', 0.6952171921730042), ('Zambia', 0.6258423924446106)] Nigerian_naira
[('Euro', 0.8557491302490234), ('Bulgaria', 0.608222246170044), ('Portugal', 0.5970810055732727)] Euro
[('Oman', 0.7705768346786499), ('Qatar', 0.7286975383758545), ('UAE', 0.7229581475257874)] Qatari_riyal
[('Euro', 0.8557491302490234), ('Bulgaria', 0.608222246170044), ('Portugal', 0.5970810055732727)] Euro
[('Saudi_riyal', 0.8297309875488281), ('Oman', 0.6641178131103516), ('riyal', 0.6574503183364868)] Saudi_riyal
[('Euro', 0.8557491302490234), ('Bulgaria', 0.608222246170044), ('Portugal', 0.5970810055732727)] Euro
[('Somali_shilling', 0.7651005983352661), ('Ethiopia', 0.5674403309822083), ('Zimbabwe', 0.5582078099250793)] Somali_shilling
[('Euro', 0.8557491302490234), ('Bulgaria', 0.608222246170044), ('Portugal', 0.5970810055732727)] Euro
[('Swedish_krona', 0.8650088906288147), ('krone', 0.5948331952095032), ('Sweden', 0.5818688869476318)] Swedish_krona
[('Swiss_franc', 0.8893228769302368), ('Swiss_Franc', 0.6927303075790405), ('franc', 0.6710644364356995)] Swiss_franc
[('Tajikistan', 0.6353234052658081), ('Uzbekistan', 0.6282593607902527), ('Turkmenistan', 0.6205737590789795)] Somoni
[('Tanzania', 0.694853663444519), ('Zambia', 0.694801926612854), ('Botswana', 0.6612040996551514)] Tanzanian_shilling
[('CFA_franc', 0.8593495488166809), ('Gabon', 0.6050173044204712), ('CEMAC', 0.5914080142974854)] CFA_franc
[('Turkish_lira', 0.8747903108596802), ('lira', 0.6925608515739441), ('Turkish_Lira', 0.6372939944267273)] Turkish_lira
[('Azerbaijan', 0.6877947449684143), ('Ukraine', 0.6473960280418396), ('Latvia', 0.6417089700698853)] Ukrainian_hryvnia
[('Oman', 0.6306471824645996), ('Kuwait', 0.5878119468688965), ('Bahrain', 0.5658330917358398)] Yemeni_rial
[('Zambia', 0.7172414064407349), ('Zambian_kwacha', 0.6707395315170288), ('Tanzania', 0.656836986541748)] Zambian_kwacha
[('Armenia', 0.6649730205535889), ('Azerbaijan', 0.6392945051193237), ('Moldova', 0.6188437938690186)] Armenian_dram
[('Euro', 0.8316224813461304), ('Croatia', 0.6419325470924377), ('Euro####', 0.6181195974349976)] Euro
[('Bulgaria', 0.6359667181968689), ('Croatia', 0.6301337480545044), ('Serbia', 0.6300952434539795)] Bulgarian_lev
[('Chilean_peso', 0.8864426612854004), ('Colombian_peso', 0.6303658485412598), ('Chile_peso', 0.6124099493026733)] Chilean_peso
[('Renminbi', 0.9029582738876343), ('renminbi', 0.6163914799690247), ('Renminbi_RMB', 0.5919367671012878)] Renminbi
[('Colombian_peso', 0.8701678514480591), ('Chile_peso', 0.599487841129303), ('peso', 0.5965855121612549)] Colombian_peso
[('Czech_koruna', 0.8425766825675964), ('Polish_zloty', 0.5818628072738647), ('koruna', 0.5676985383033752)] Czech_koruna
[('Ethiopia', 0.5648794174194336), ('Kenya', 0.49490490555763245), ('Moldova', 0.49179184436798096)] Ethiopian_birr
[('Euro', 0.8316224813461304), ('Croatia', 0.6419325470924377), ('Euro####', 0.6181195974349976)] Euro
[('Euro', 0.8316224813461304), ('Croatia', 0.6419325470924377), ('Euro####', 0.6181195974349976)] Euro
[('Hungarian_forint', 0.8750263452529907), ('Polish_zloty', 0.6082090735435486), ('Czech_koruna', 0.5807292461395264)] Hungarian_forint
[('Lao_kip', 0.5044159293174744), ('Laos', 0.4863831400871277), ('Albania', 0.46423792839050293)] Lao_kip
[('Euro', 0.8316224813461304), ('Croatia', 0.6419325470924377), ('Euro####', 0.6181195974349976)] Euro
[('Libyan_dinar', 0.6834759712219238), ('Egypt', 0.47889265418052673), ('Azerbaijan', 0.4787341356277466)] Libyan_dinar
[('Malaysian_ringgit', 0.8530285358428955), ('ringgit', 0.6332230567932129), ('Malaysia', 0.5938906669616699)] Malaysian_ringgit
[('Euro', 0.8316224813461304), ('Croatia', 0.6419325470924377), ('Euro####', 0.6181195974349976)] Euro
[('Nigerian_naira', 0.6907395124435425), ('Nigeria', 0.6677404642105103), ('Ghana', 0.5959180593490601)] Nigerian_naira
[('Euro', 0.8316224813461304), ('Croatia', 0.6419325470924377), ('Euro####', 0.6181195974349976)] Euro
[('Qatar', 0.6493489742279053), ('UAE', 0.623415470123291), ('Oman', 0.6012713313102722)] Qatari_riyal
[('Euro', 0.8316224813461304), ('Croatia', 0.6419325470924377), ('Euro####', 0.6181195974349976)] Euro
[('Saudi_riyal', 0.7877101898193359), ('Saudi_Arabia', 0.6086828708648682), ('riyal', 0.5764901638031006)] Saudi_riyal
[('Euro', 0.8316224813461304), ('Croatia', 0.6419325470924377), ('Euro####', 0.6181195974349976)] Euro
[('Somali_shilling', 0.7140222787857056), ('Ethiopia', 0.579293966293335), ('Somalia', 0.5131739377975464)] Somali_shilling
[('Euro', 0.8316224813461304), ('Croatia', 0.6419325470924377), ('Euro####', 0.6181195974349976)] Euro
[('Swedish_krona', 0.8447271585464478), ('Sweden', 0.6074429750442505), ('Finland', 0.5747959613800049)] Swedish_krona
[('Swiss_franc', 0.8739693760871887), ('Swiss_Franc', 0.6628103256225586), ('franc', 0.6417450904846191)] Swiss_franc
[('Tajikistan', 0.5599622130393982), ('Uzbekistan', 0.5537435412406921), ('Azerbaijan', 0.5279317498207092)] Somoni
[('Kenya', 0.6054250001907349), ('Tanzania', 0.6026037931442261), ('Zambia', 0.5832300782203674)] Tanzanian_shilling
[('CFA_franc', 0.8348278999328613), ('Senegal', 0.5490596294403076), ('Gabon', 0.5323578119277954)] CFA_franc
[('Turkish_lira', 0.8522694110870361), ('Turkey', 0.6542564630508423), ('lira', 0.6536715030670166)] Turkish_lira
[('Ukraine', 0.6601791381835938), ('Serbia', 0.6489753723144531), ('Moldova', 0.6393296122550964)] Ukrainian_hryvnia
[('Serbia', 0.5234089493751526), ('Peru', 0.4982471466064453), ('Albania', 0.4901201128959656)] Yemeni_rial
[('Zambia', 0.6426370143890381), ('Zambian_kwacha', 0.5933060646057129), ('Tanzania', 0.5928045511245728)] Zambian_kwacha
[('Armenia', 0.49300965666770935), ('Azerbaijan', 0.4607899487018585), ('Lithuania', 0.4449220597743988)] Armenian_dram
[('Croatia', 0.7389336824417114), ('Euro', 0.7231835126876831), ('Lithuania', 0.7225363254547119)] Euro
[('Cyprus', 0.4681030511856079), ('Lithuania', 0.45338091254234314), ('Latvia', 0.44983458518981934)] Bulgarian_lev
[('Chilean_peso', 0.8696056604385376), ('Colombian_peso', 0.6189603805541992), ('Chile_peso', 0.6119199991226196)] Chilean_peso
[('Renminbi', 0.8905842304229736), ('Renminbi_RMB', 0.6224789619445801), ('renminbi', 0.6194143295288086)] Renminbi
[('Colombian_peso', 0.8520862460136414), ('Chile_peso', 0.6061594486236572), ('Chilean_peso', 0.597547173500061)] Colombian_peso
[('Czech_koruna', 0.8213231563568115), ('Polish_zloty', 0.566725492477417), ('Romanian_leu', 0.5361913442611694)] Czech_koruna
[('Ethiopia', 0.5076713562011719), ('Kenya', 0.47324925661087036), ('Tanzania', 0.4685816466808319)] Ethiopian_birr
[('Croatia', 0.7389336824417114), ('Euro', 0.7231835126876831), ('Lithuania', 0.7225363254547119)] Euro
[('Croatia', 0.7389336824417114), ('Euro', 0.7231835126876831), ('Lithuania', 0.7225363254547119)] Euro
[('Hungarian_forint', 0.85774827003479), ('Polish_zloty', 0.5864207744598389), ('Romanian_leu', 0.5738202333450317)] Hungarian_forint
[('Lao_kip', 0.5428640842437744), ('Laos', 0.46563878655433655), ('Cambodia', 0.4378521144390106)] Lao_kip
[('Croatia', 0.7389336824417114), ('Euro', 0.7231835126876831), ('Lithuania', 0.7225363254547119)] Euro
[('Libyan_dinar', 0.6847431063652039), ('sprawling_Abu_Shouk', 0.4668012261390686), ('Yemen', 0.4444846510887146)] Libyan_dinar
[('Malaysian_ringgit', 0.8396093845367432), ('ringgit', 0.6146532297134399), ('Indonesian_rupiah', 0.5702022314071655)] Malaysian_ringgit
[('Croatia', 0.7389336824417114), ('Euro', 0.7231835126876831), ('Lithuania', 0.7225363254547119)] Euro
[('Nigerian_naira', 0.6803661584854126), ('Nigeria', 0.5657486915588379), ('Kenya', 0.5353678464889526)] Nigerian_naira
[('Croatia', 0.7389336824417114), ('Euro', 0.7231835126876831), ('Lithuania', 0.7225363254547119)] Euro
[('Qatari_riyal', 0.5999864339828491), ('Oman', 0.5585651397705078), ('UAE', 0.5474778413772583)] Qatari_riyal
[('Croatia', 0.7389336824417114), ('Euro', 0.7231835126876831), ('Lithuania', 0.7225363254547119)] Euro
[('Saudi_riyal', 0.7791322469711304), ('riyal', 0.5610685348510742), ('Saudi_Arabia', 0.5379577875137329)] Saudi_riyal
[('Croatia', 0.7389336824417114), ('Euro', 0.7231835126876831), ('Lithuania', 0.7225363254547119)] Euro
[('Somali_shilling', 0.718080461025238), ('Ethiopia', 0.5046337246894836), ('Somalia', 0.4927593469619751)] Somali_shilling
[('Croatia', 0.7389336824417114), ('Euro', 0.7231835126876831), ('Lithuania', 0.7225363254547119)] Euro
[('Swedish_krona', 0.8288434147834778), ('Sweden', 0.5410497188568115), ('Norwegian_krone', 0.5375393033027649)] Swedish_krona
[('Swiss_franc', 0.8540497422218323), ('Swiss_Franc', 0.5989761352539062), ('franc', 0.5940340757369995)] Swiss_franc
[('Somoni', 0.5272203087806702), ('Tajikistan', 0.5162571668624878), ('Uzbekistan', 0.46976444125175476)] Somoni
[('Tanzania', 0.5561439990997314), ('Kenya', 0.5447564125061035), ('Uganda', 0.5077213644981384)] Tanzanian_shilling
[('CFA_franc', 0.8087796568870544), ('Senegal', 0.5188703536987305), ('CFA_franc_zone', 0.5004400014877319)] CFA_franc
[('Turkish_lira', 0.8293594717979431), ('lira', 0.6255237460136414), ('Turkish_Lira', 0.5786896347999573)] Turkish_lira
[('Tajikistan', 0.4773595333099365), ('Latvia', 0.47165805101394653), ('Lithuania', 0.46387654542922974)] Ukrainian_hryvnia
[('Yemen', 0.4094740152359009), ('Indonesia', 0.4018988609313965), ('Bangladesh', 0.3968837857246399)] Yemeni_rial
[('Zambian_kwacha', 0.5897048711776733), ('Zambia', 0.5807972550392151), ('Tanzania', 0.5673238039016724)] Zambian_kwacha
[('Bahrain', 0.5850253105163574), ('Oman', 0.5532729029655457), ('Armenia', 0.5476226806640625)] Armenian_dram
[('Euro', 0.8260016441345215), ('Euro####', 0.6195200681686401), ('Portugal', 0.6124516725540161)] Euro
[('Oman', 0.6211928129196167), ('Bahrain', 0.591815710067749), ('Morocco', 0.5738089084625244)] Bulgarian_lev
[('Chilean_peso', 0.8796406984329224), ('Colombian_peso', 0.6191903352737427), ('Chile_peso', 0.6133246421813965)] Chilean_peso
[('Renminbi', 0.896619439125061), ('renminbi', 0.6022399067878723), ('Renminbi_RMB', 0.5968092679977417)] Renminbi
[('Colombian_peso', 0.8625303506851196), ('Chile_peso', 0.6098388433456421), ('Chilean_peso', 0.6025032997131348)] Colombian_peso
[('Czech_koruna', 0.8300259113311768), ('Polish_zloty', 0.581408679485321), ('EUR_CZK', 0.5519027709960938)] Czech_koruna
[('Morocco', 0.5772852301597595), ('Oman', 0.5635368824005127), ('Ethiopia', 0.5605149269104004)] Ethiopian_birr
[('Euro', 0.8260016441345215), ('Euro####', 0.6195200681686401), ('Portugal', 0.6124516725540161)] Euro
[('Euro', 0.8260016441345215), ('Euro####', 0.6195200681686401), ('Portugal', 0.6124516725540161)] Euro
[('Hungarian_forint', 0.8677217960357666), ('Polish_zloty', 0.5886330604553223), ('Romanian_leu', 0.5744237899780273)] Hungarian_forint
[('Bahrain', 0.5695222616195679), ('Thailand', 0.5469479560852051), ('Malaysia', 0.5347566604614258)] Lao_kip
[('Euro', 0.8260016441345215), ('Euro####', 0.6195200681686401), ('Portugal', 0.6124516725540161)] Euro
[('Libyan_dinar', 0.6971601247787476), ('Oman', 0.5782290697097778), ('Bahrain', 0.5625960230827332)] Libyan_dinar
[('Malaysian_ringgit', 0.8460531830787659), ('Malaysia', 0.6671506762504578), ('ringgit', 0.6358966827392578)] Malaysian_ringgit
[('Euro', 0.8260016441345215), ('Euro####', 0.6195200681686401), ('Portugal', 0.6124516725540161)] Euro
[('Nigerian_naira', 0.694304347038269), ('Nigeria', 0.679023027420044), ('Ghana', 0.6264204978942871)] Nigerian_naira
[('Euro', 0.8260016441345215), ('Euro####', 0.6195200681686401), ('Portugal', 0.6124516725540161)] Euro
[('Oman', 0.7589156627655029), ('Qatar', 0.7435413599014282), ('Bahrain', 0.7399446964263916)] Qatari_riyal
[('Euro', 0.8260016441345215), ('Euro####', 0.6195200681686401), ('Portugal', 0.6124516725540161)] Euro
[('Saudi_riyal', 0.7939895987510681), ('Oman', 0.6760231852531433), ('Saudi_Arabia', 0.664512038230896)] Saudi_riyal
[('Euro', 0.8260016441345215), ('Euro####', 0.6195200681686401), ('Portugal', 0.6124516725540161)] Euro
[('Somali_shilling', 0.7095604538917542), ('Ethiopia', 0.570906400680542), ('Yemen', 0.5196192860603333)] Somali_shilling
[('Euro', 0.8260016441345215), ('Euro####', 0.6195200681686401), ('Portugal', 0.6124516725540161)] Euro
[('Swedish_krona', 0.8388076424598694), ('Sweden', 0.6036982536315918), ('Finland', 0.5688472390174866)] Swedish_krona
[('Swiss_franc', 0.8675210475921631), ('Swiss_Franc', 0.6453227996826172), ('franc', 0.6083119511604309)] Swiss_franc
[('Tajikistan', 0.5410170555114746), ('Uzbekistan', 0.5392115116119385), ('Bahrain', 0.5337628126144409)] Somoni
[('Tanzania', 0.6388687491416931), ('Kenya', 0.596666693687439), ('Morocco', 0.5924832224845886)] Tanzanian_shilling
[('CFA_franc', 0.8260324001312256), ('Gabon', 0.5845028162002563), ('Senegal', 0.583848774433136)] CFA_franc
[('Turkish_lira', 0.8441884517669678), ('lira', 0.6486836671829224), ('Turkey', 0.6300578117370605)] Turkish_lira
[('Oman', 0.5684317350387573), ('Kazakhstan', 0.5580904483795166), ('Azerbaijan', 0.5531889200210571)] Ukrainian_hryvnia
[('Bahrain', 0.5957157611846924), ('Oman', 0.5953956246376038), ('Morocco', 0.5538953542709351)] Yemeni_rial
[('Zambia', 0.6670306921005249), ('Tanzania', 0.6444408893585205), ('Mozambique', 0.6161360740661621)] Zambian_kwacha
[('Armenia', 0.44536277651786804), ('Cyprus', 0.40594494342803955), ('Peru', 0.4047180414199829)] Armenian_dram
[('Croatia', 0.7422130107879639), ('Euro', 0.7273946404457092), ('Slovenia', 0.6935720443725586)] Euro
[('Cyprus', 0.45019757747650146), ('Montenegro', 0.43416717648506165), ('Bulgarian_lev', 0.4036511778831482)] Bulgarian_lev
[('Chilean_peso', 0.873053252696991), ('Colombian_peso', 0.6233363151550293), ('Chile_peso', 0.6085253953933716)] Chilean_peso
[('Renminbi', 0.8913025856018066), ('Renminbi_RMB', 0.625624418258667), ('renminbi', 0.6150323152542114)] Renminbi
[('Colombian_peso', 0.8560885190963745), ('Chile_peso', 0.601521909236908), ('Chilean_peso', 0.5991998314857483)] Colombian_peso
[('Czech_koruna', 0.8212724328041077), ('Polish_zloty', 0.5462293028831482), ('Romanian_leu', 0.5186619758605957)] Czech_koruna
[('Ethiopia', 0.42927122116088867), ('Kigoma_Region', 0.4216049611568451), ('Ethiopian_birr', 0.41515225172042847)] Ethiopian_birr
[('Croatia', 0.7422130107879639), ('Euro', 0.7273946404457092), ('Slovenia', 0.6935720443725586)] Euro
[('Croatia', 0.7422130107879639), ('Euro', 0.7273946404457092), ('Slovenia', 0.6935720443725586)] Euro
[('Hungarian_forint', 0.8565841913223267), ('Polish_zloty', 0.5848581194877625), ('Romanian_leu', 0.5752066373825073)] Hungarian_forint
[('Lao_kip', 0.5490151643753052), ('Lao', 0.42387229204177856), ('Laos', 0.4207040071487427)] Lao_kip
[('Croatia', 0.7422130107879639), ('Euro', 0.7273946404457092), ('Slovenia', 0.6935720443725586)] Euro
[('Libyan_dinar', 0.6861771941184998), ('Masnaa_border_crossing', 0.4159596562385559), ('sprawling_Abu_Shouk', 0.4122069478034973)] Libyan_dinar
[('Malaysian_ringgit', 0.83889240026474), ('ringgit', 0.6187388896942139), ('Thai_baht', 0.5630429983139038)] Malaysian_ringgit
[('Croatia', 0.7422130107879639), ('Euro', 0.7273946404457092), ('Slovenia', 0.6935720443725586)] Euro
[('Nigerian_naira', 0.6787186861038208), ('Nigeria', 0.5083960890769958), ('Zambia', 0.47818806767463684)] Nigerian_naira
[('Croatia', 0.7422130107879639), ('Euro', 0.7273946404457092), ('Slovenia', 0.6935720443725586)] Euro
[('Qatari_riyal', 0.5764563083648682), ('Oman', 0.5230787396430969), ('UAE', 0.4993383288383484)] Qatari_riyal
[('Croatia', 0.7422130107879639), ('Euro', 0.7273946404457092), ('Slovenia', 0.6935720443725586)] Euro
[('Saudi_riyal', 0.7733906507492065), ('riyal', 0.5624862909317017), ('Qatari_riyal', 0.5100826025009155)] Saudi_riyal
[('Croatia', 0.7422130107879639), ('Euro', 0.7273946404457092), ('Slovenia', 0.6935720443725586)] Euro
[('Somali_shilling', 0.7163381576538086), ('Somalia', 0.4496082663536072), ('Ethiopia', 0.4488733410835266)] Somali_shilling
[('Croatia', 0.7422130107879639), ('Euro', 0.7273946404457092), ('Slovenia', 0.6935720443725586)] Euro
[('Swedish_krona', 0.824775218963623), ('krone', 0.5435595512390137), ('Sweden', 0.5201762914657593)] Swedish_krona
[('Swiss_franc', 0.8556216955184937), ('franc', 0.608587384223938), ('Swiss_Franc', 0.5904927849769592)] Swiss_franc
[('Somoni', 0.4886102080345154), ('Tajikistan', 0.44713062047958374), ('Meskal', 0.4409484267234802)] Somoni
[('Tanzania', 0.49515363574028015), ('Zambia', 0.44224923849105835), ('Kenya', 0.43566861748695374)] Tanzanian_shilling
[('CFA_franc', 0.8063477277755737), ('CFA_francs', 0.49238258600234985), ('Senegal', 0.4905913472175598)] CFA_franc
[('Turkish_lira', 0.8299339413642883), ('lira', 0.6240804195404053), ('Turkish_Lira', 0.5815284252166748)] Turkish_lira
[('Munkh_Orgil', 0.4047327935695648), ('Tajikistan', 0.398906409740448), ('Montenegro', 0.39322972297668457)] Ukrainian_hryvnia
[('Peru', 0.39262211322784424), ('Yemen', 0.3534078299999237), ('Hailemariam', 0.3312465250492096)] Yemeni_rial
[('Zambian_kwacha', 0.5873353481292725), ('Zambia', 0.5304875373840332), ('Tanzania', 0.515538215637207)] Zambian_kwacha
[('Azerbaijan', 0.6191278100013733), ('Armenia', 0.5751839876174927), ('Lithuania', 0.5514807105064392)] Armenian_dram
[('Euro', 0.7311987280845642), ('Croatia', 0.6475460529327393), ('Slovenia', 0.6385824680328369)] Euro
